tytul;powierzchnia;l_pokoi;pietro;rok_budowy;cena;miejsce;Ulica
Słowackiego 2 pok. osobne, 42mkw, 2 windy;42.0;2;2;1972;370000;Gdańsk Wrzeszcz; Słowackiego Juliusza
Najtańsza Kawalerka w Gdańsku !! Możliwość 2 pok.;28.0;1;1;NaN;145600;Gdańsk Rudniki;
MORENA/ 3 POKOJE Z OGRÓDKIEM/ PO REMONCIE;74.0;3;0;2003;600000;Gdańsk Morena; Prof. Zygmunta Czubińskiego
APARTAMENT Z WIDOKIEM NA KOŚCIÓŁ MARIACKI;51.7;3;2;1950;877000;Gdańsk Śródmieście; Grobla I
2 w 1, dwa mieszkania 2pokojowe, hit inwestycyjny;71.21;4;3;1903;659000;Gdańsk Dolne Miasto; Łąkowa
Słoneczne 3 pok. z dużym balkonem, blisko tramwaj;50.6;3;1;2004;455000;Gdańsk Ujeścisko; Przemyska
Stogi, 2 pok., balkon, blisko tramwaj, morze i las;42.3;2;5;1964;299000;Gdańsk Stogi; Wilhelma Stryjewskiego
Piękne mieszkanie 42m 2 pokoje, do wprowadzenia!;42.0;2;1;1977;433000;Gdańsk;ul. Szyprów 6
3 POKOJE/DO WPROWADZENIA/GARAŻ/JASIEŃ;75.6;3;1;2002;550000;Gdańsk Szadółki; Aleksandry Gabrysiak
Morena/duży taras/parking/szybkie wydanie;56.2;2;2;2008;519000;Gdańsk Morena; Myśliwska
2 POKOJE/DŁUGIE OGRODY/OKAZJA;46.0;2;3;1990;229000;Gdańsk Rudniki; Rzęsna
3 pokoje/ 1 piętro/ po remoncie/ balkon;60.5;3;1;1980;550000;Gdańsk Niedźwiednik; Góralska
0 / Morena / 3 Pokoje / Balkon / Piwnica;63.8;3;0;1985;517000;Gdańsk Morena; Heleny Marusarzówny
3 pokoje/ ZASPA/ po remoncie/ z balkonem/ OD PŁD;61.7;3;6;1980;585000;Gdańsk Zaspa; Janusza Meissnera
2 pokoje/po remoncie/blisko uczelni;38.0;2;7;1970;415000;Gdańsk Żabianka; Grunwaldzka
Morena / 11 Piętro / 4 Pokoje / 65m2 / Loggie;64.0;4;11;1985;550000;Gdańsk Morena; Heleny Marusarzówny
3 pokoje/ lawendowe wzgórze/ duży balkon/ od zaraz;57.7;3;6;2015;450000;Gdańsk Szadółki; Lawendowe Wzgórze
Mieszkanie 2-pok. blisko morza z ogródkiem!;45.0;2;0;1981;399000;Gdańsk Zaspa; Janusza Meissnera
Mieszkanie Gdańsk Jasień  54 m2;54.0;2;1;NaN;459000;Gdańsk Jasień;
3 pokoje w kamienicy! Niesamowity klimat! Garaż!;47.94;3;0;1910;399000;Gdańsk Aniołki; Juliana Tuwima
Luksusowy APARTAMENT nad Motławą!;42.0;2;3;2020;995000;Gdańsk Śródmieście; Chmielna
Nowe, 2 pokojowe mieszkanie w Gdańsku;43.0;2;2;2020;385000;Gdańsk Zakoniczyn; Jerzego Świrskiego
Piękny 2 pokojowy apartament w Śródmieściu centrum;53.1;2;3;1954;580000;Gdańsk Śródmieście; Jana Heweliusza
Słoneczna morena 2 pokoje w kameralnym budynku!;47.18;2;2;2015;460000;Gdańsk Morena; Prof. Stefana Hausbrandta
Luksusowy apartament na Jaśkowej Dolinie;49.5;2;2;2013;864000;Gdańsk Wrzeszcz; Jaśkowa Dolina
3pokoje/1piętro/62,0m2/Jasień/Obok tramwaj;62.0;3;1;2011;557000;Gdańsk Jasień;
Mieszkanie 57m2 NOWE (ogródek,garderoba);57.0;3;0;2020;509000;Gdańsk Jasień; Krzysztofa Komedy
2-poziomowe mieszkanie na osiedlu Gdańsk Karczemki;97.0;3;3;2003;499000;Gdańsk Karczemki; Storczykowa
3 pokoje - Gdańsk Morena;61.3;3;3;1984;450000;Gdańsk Morena; Burgaska
?4 pokoje | oddzielna kuchnia | miejsce parkingowe;60.0;4;0;1975;569000;Gdańsk Długie Ogrody; Długie Ogrody
Przestronne, funkcjonalne mieszkanie Gdańsk Morena;75.0;3;5;2010;799000;Gdańsk Morena; Myśliwska
Gdańsk Trzy pokoje gotowe do zamieszkania;68.15;3;2;2010;459000;Gdańsk Łostowice; Olimpijska
