Tytuł,Miejsce,Powierzchnia,L_pokoi,Pietro,Rok_budowy,Cena
Dwupokojowe w ścisłym centrum Śródmieścia,"Gdańsk Śródmieście, Jana Heweliusza",48,2,2,1950,576 000 zł
"Nowy Chełm, Szpora. Świeżo po malowaniu.","Gdańsk Chełm, Szpora 9",44.21,2,3,2010,440 000 zł
Mieszkanie 2-pokojowe Chełm,"Gdańsk Chełm, Ptasia 33",44.87,2,parter,2015,450 000 zł
Na sprzedaż mieszkanie Morena 62m2 ul. Wyrobka,"Gdańsk Morena, Romana Wyrobka 7",62,2,2,1985,529 000 zł
Nowoczesne mieszkanie pod klucz 1 km od morza Przymorze,"Gdańsk Przymorze, Piastowska 106",45,2,2,1980,499 000 zł
4 pokoje na morenie idealne pod inwestycję!,"Gdańsk Morena, Budapesztańska",73,4,4,1990,565 000 zł
Tamka-wysoki parter,"Gdańsk Stogi, Tamka",34.21,2,parter,1965,280 000 zł
Wysoki parter - Tamka,"Gdańsk Stogi, Tamka",34.21,2,parter,1965,280 000 zł
Ekskluzywny apartament w mila baltica !,"Gdańsk Zaspa, Bolesława Chrobrego",66.68,3,3,2017,1 095 000 zł
3 Pokoje/Balkon/Wysoki Standard,"Gdańsk Św. Wojciech, Starogardzka",68,3,3,2010,489 000 zł
3 Pokoje/Gdańsk Wrzeszcz/Piwnica ok.10m2,"Gdańsk Wrzeszcz, Tadeusza Kościuszki",40.2,3,1,1960,439 000 zł
Mieszkanie w odnowionej kamienicy w sercu Gdańska,"Gdańsk Śródmieście, Sukiennicza",68.2,3,2,0,680 000 zł
"Atrakcyjne, małe 2 pokojowe mieszkanie na Zaspie!","Gdańsk Zaspa, Pilotów",36.9,2,parter,0,399 000 zł
4 słoneczne pokoje Morena,"Gdańsk Morena, Bulońska",79,4,10,1980,565 000 zł
"Zadbane mieszkanie dwupoziomowe, ul. Przemyska","Gdańsk Ujeścisko, Przemyska",67.4,4,3,2002,515 000 zł
Oliwa - 150m od AWFiS. Świetny rozkład,"Gdańsk Oliwa, Grunwaldzka",58,3,1,1964,496 000 zł
Oliwa/Żabianka - 150m od AWFiS. Świetny rozkład,"Gdańsk Żabianka, Bitwy Oliwskiej",58,3,1,1964,496 000 zł
3 pokoje żabianka Subisława - Blisko plaży. 4 min,"Gdańsk Żabianka, Subisława",56.1,3,1,1977,489 000 zł
Mieszkanie 56m2 na Kowalach blisko szkoły podst.,Gdańsk Kowale,56.2,3,1,2016,430 000 zł
Gdańsk Jasień 2 pokoje z halą garażową,"Gdańsk Jasień, Stężycka",43.58,2,1,2019,295 000 zł
Kameralne Osiedle Gdańsk Jasień,"Gdańsk Jasień, Stężycka",69.8,3,parter,2019,399 000 zł
Piękne mieszkanie dla rodziny z dużym ogrodem!,"Gdańsk Morena, Wołkowyska",70.5,3,parter,2007,720 000 zł
2 pokojowy apartament Gdańsk Przymorze. SKM.,"Gdańsk Przymorze, Szczecińska",50,2,2,2007,569 000 zł
Apartament na Szafarni w Gdańsku,"Gdańsk Długie Ogrody, Szafarnia",67,3,4,2010,1 189 000 zł
Luksusowy apartament na Jaśkowej Dolinie,"Gdańsk Wrzeszcz, Jaśkowa Dolina",49.5,2,2,2013,820 000 zł
Przytulne dwa pokoje na Starówce,"Gdańsk Śródmieście, Powroźnicza",33.6,2,2,1976,545 000 zł
"Nowoczesne, jasne i duże mieszkanie dla rodziny","Gdańsk Św. Wojciech, Kazimierza Wielkiego",79.9,4,2,2011,599 000 zł
Nietuzinkowe wnętrze / 2 łazienki / widok na park,"Gdańsk Długie Ogrody, Św. Barbary",73,3,4,2019,1 142 700 zł
"4 pokoje 66,7m przy SKM Żabianka, 2km od morza!","Gdańsk Żabianka, Subisława",66.7,4,8,0,578 000 zł
"2 niezależne  pokoje, osobno kuchnia","Gdańsk Kiełpinek, Przytulna",48.55,2,parter,2005,435 000 zł
Luksusowy APARTAMENT nad Motławą!,"Gdańsk Śródmieście, Chmielna",42,2,3,2020,995 000 zł
3 pokoje na granicy z sopotem,"Gdańsk Żabianka, Grunwaldzka",56.22,3,parter,1974,579 000 zł
10 min do Centrum / wysoki standard / duża balkon,"Gdańsk Jasień, Goska",68.5,3,5,2012,645 000 zł
Słoneczna Morena/1 piętro/ 2 Pokoje/duży balkon,"Gdańsk Morena, Prof. Stefana Hausbrandta",35,2,1,2015,425 000 zł
Piękny Apartament 3 Żagle 10minut pieszo do morza,"Gdańsk Przymorze, Olsztyńska",67,3,5,2011,775 000 zł
Kawalerka w dobrej lokalizacji we Wrzeszczu,"Gdańsk Wrzeszcz, Tadeusza Kościuszki",32.98,1,2,1960,320 000 zł
2-pokojowe w pięknej i spokojnej scenerii Oliwy,"Gdańsk Oliwa, Artura Grottgera",42.1,2,parter,1974,479 000 zł
Mieszkanie Gdańsk Morena Kusocińskiego 66 m2,"Gdańsk Morena, Kusocińskiego",66,3,parter,0,530 000 zł
3 pokoje/ wiszące ogrody/ idealne dla rodziny,"Gdańsk Kiełpinek, Przytulna",63.3,3,4,2008,540 000 zł
Apartament z widokiem na Zatokę,"Gdańsk Zaspa, Jana Pawła Ii",63,3,11,2016,749 000 zł
Sprzedam mieszkanie Gdansk Oliwa,Gdańsk Oliwa,75,3,parter,1935,845 000 zł
2 pokoje z osobną kuchnią Wrzeszcz,"Gdańsk Wrzeszcz, Sochaczewska",50.68,2,2,1960,499 000 zł
"Wrzeszcz, Garnizon - 2 Pokoje","Gdańsk Wrzeszcz, Bolesława Leśmiana",37.9,2,2,2020,449 850 zł
Mieszkanie - Gdańsk Śródmieście,"Gdańsk Śródmieście, Szeroka",25,1,1,1956,449 900 zł
